material_id,material_name,material_type,strength_score,weight_capacity_score,biodegradability_score,co2_emission_score,recyclability_percent,material_type_encoded,eco_score,performance_score,eco_performance_ratio,is_biodegradable,is_recyclable,dual_end_of_life,strength_tier,co2_category
1,Virgin Kraft Paper,Paper/Cardboard,0.5,0.25,0.888888888888889,0.9233097880928357,0.8631578947368421,7,0.9495529160549847,0.375,0.4493713705812708,1,1,1,medium,ultra_low
2,Recycled Kraft Paper,Paper/Cardboard,0.5,0.25,0.9090909090909092,0.9384460141271445,0.9473684210526315,7,0.9935940210863472,0.375,0.4679765462028528,1,1,1,medium,ultra_low
3,Corrugated Cardboard (Virgin),Paper/Cardboard,0.5,0.75,0.8585858585858587,0.9212916246215944,0.8947368421052632,7,0.9444815160816762,0.625,0.3056745785645825,1,1,1,medium,ultra_low
4,Corrugated Cardboard (Recycled),Paper/Cardboard,0.5,0.75,0.8787878787878789,0.9414732593340062,0.968421052631579,7,0.9878553316428664,0.625,0.3187545808197553,1,1,1,medium,ultra_low
5,Flat Cardboard (Paperboard),Paper/Cardboard,0.5,0.5,0.8484848484848485,0.8708375378405652,0.8210526315789474,7,0.889763779527559,0.5,0.3453938095506568,1,1,1,medium,low_emission
6,Molded Fiber Pulp,Paper/Cardboard,0.25,0.5,0.9292929292929294,0.9455095862764884,0.9263157894736842,7,1.0,0.375,0.470682753565992,1,1,1,lightweight,ultra_low
7,PLA Bioplastic (Virgin),Bioplastic,0.75,0.5,0.8282828282828284,0.8486377396569122,0.47368421052631576,1,0.7585746696917124,0.625,0.2495771550995095,1,1,1,heavy_duty,low_emission
8,PLA Bioplastic (Recycled),Bioplastic,0.75,0.5,0.8080808080808082,0.9071644803229062,0.5263157894736842,1,0.7968770852795941,0.625,0.2611349157129165,1,1,1,heavy_duty,ultra_low
9,PHA Bioplastic,Bioplastic,0.5,0.5,0.9595959595959597,0.8234106962663976,0.3684210526315789,1,0.7725877485653276,0.5,0.3041382420928003,1,1,1,medium,low_emission
10,Bamboo Fiber Packaging,Natural Fiber,1.0,0.75,0.9393939393939394,0.9323915237134208,0.7894736842105263,6,0.9543574002402242,0.875,0.2293369791960309,1,1,1,heavy_duty,ultra_low
11,Bagasse (Sugarcane Waste),Natural Fiber,0.25,0.25,0.9797979797979799,0.9616548940464179,0.631578947368421,6,0.9384759108501268,0.25,0.5679229858487906,1,1,1,lightweight,ultra_low
12,Mycelium Packaging,Bio-based Composite,0.0,0.25,1.0,0.9848637739656914,0.0,0,0.7599092486320564,0.125,0.6475869651012008,1,0,0,lightweight,ultra_low
13,Seaweed/Kelp Packaging,Bio-based Composite,0.0,0.0,0.98989898989899,0.9899091826437942,0.0,0,0.7579073802215401,0.0,0.9933754298923155,1,0,0,lightweight,ultra_low
14,Expanded Polystyrene (EPS),Conventional Plastic,0.0,0.25,0.010101010101010102,0.7235116044399597,0.14736842105263157,2,0.21059655678633393,0.125,0.26082482945255675,0,0,0,lightweight,moderate
15,HDPE Plastic,Conventional Plastic,0.5,1.0,0.020202020202020204,0.8496468213925328,0.3263157894736842,2,0.33871613505938875,0.75,0.10148277611772,0,1,0,medium,low_emission
16,PET Plastic,Conventional Plastic,0.75,0.75,0.030303030303030304,0.7144298688193744,0.6105263157894737,2,0.36193780862137986,0.75,0.10762812200484861,0,1,0,heavy_duty,moderate
17,LDPE Plastic (Virgin),Conventional Plastic,0.25,0.75,0.020202020202020204,0.8496468213925328,0.29473684210526313,2,0.32870679300680633,0.5,0.14786886170152785,0,1,0,lightweight,low_emission
18,LDPE Plastic (Recycled),Conventional Plastic,0.25,0.75,0.020202020202020204,0.9828456104944501,0.631578947368421,2,0.5059388762845323,0.5,0.21026667418390932,0,1,0,lightweight,ultra_low
19,Aluminum (Virgin),Metal,1.0,1.0,0.0,0.0,0.7052631578947368,4,0.0,1.0,0.0,0,1,0,heavy_duty,high_emission
20,Aluminum (Recycled),Metal,1.0,1.0,0.0,0.922300706357215,1.0,4,0.5813425864139863,1.0,0.12279415910244121,0,1,0,heavy_duty,ultra_low
21,Glass (Virgin),Glass,0.75,0.5,0.0,0.9273461150353179,0.7789473684210526,3,0.5139463499265982,0.625,0.17574843547386818,0,1,0,heavy_duty,ultra_low
22,Glass (Recycled),Glass,0.75,0.5,0.0,0.9566094853683149,0.9473684210526315,3,0.5828106232483652,0.625,0.19653830974798442,0,1,0,heavy_duty,ultra_low
23,Steel Packaging,Metal,1.0,1.0,0.0,0.7568113017154391,0.7578947368421053,4,0.41705591885760046,1.0,0.0880926876021875,0,1,0,heavy_duty,low_emission
24,Starch-Based Packaging,Bioplastic,0.25,0.25,0.9696969696969697,0.9323915237134208,0.42105263157894735,1,0.8515948218337115,0.25,0.5220443141455714,1,1,1,lightweight,ultra_low
25,Cellulose-Based Film,Paper/Cardboard,0.75,0.25,0.9191919191919192,0.939455095862765,0.7368421052631579,7,0.932069931936474,0.5,0.3602779500479224,1,1,1,heavy_duty,ultra_low
26,Cork Packaging,Natural Fiber,0.0,0.25,0.9595959595959597,0.9535822401614532,0.6842105263157895,6,0.9415454424129186,0.125,0.7754693578395444,1,1,1,lightweight,ultra_low
27,Wood Wool / Shredded Wood,Natural Fiber,0.25,0.5,0.8989898989898991,0.9495459132189709,0.5789473684210527,6,0.8780194848525291,0.375,0.41915205502621633,1,1,1,lightweight,ultra_low
28,Jute Fabric Packaging,Natural Fiber,0.5,0.5,0.9494949494949496,0.9535822401614532,0.7368421052631579,6,0.9535566528760175,0.5,0.36784687376670233,1,1,1,medium,ultra_low
29,Hemp Fiber Packaging,Natural Fiber,0.75,0.75,0.9393939393939394,0.9646821392532796,0.7578947368421053,6,0.961430668624049,0.75,0.26591306308845913,1,1,1,heavy_duty,ultra_low
30,Air Carbon Packaging (AirCarbon),Bioplastic,0.5,0.5,0.8585858585858587,1.0,0.42105263157894735,1,0.8359802482316829,0.5,0.3264503580086824,1,1,1,medium,ultra_low
31,Recycled PET (rPET),Bioplastic,0.75,0.75,0.04040404040404041,0.8668012108980828,0.7894736842105263,1,0.5039370078740157,0.75,0.14512036984833962,0,1,0,heavy_duty,low_emission
32,Compostable Mailer (PLA+PBAT),Bioplastic,0.5,0.25,0.888888888888889,0.8869828456104945,0.3157894736842105,1,0.7568397170692645,0.375,0.3679596324068331,1,1,1,medium,low_emission
33,Banana Leaf Packaging,Natural Fiber,0.0,0.0,1.0,0.9929364278506561,0.0,6,0.7641799012411585,0.0,1.0000000000000002,1,0,0,lightweight,ultra_low
34,Bamboo Pulp Paper,Paper/Cardboard,0.5,0.25,0.9292929292929294,0.9535822401614532,0.8421052631578947,7,0.9775790738022152,0.375,0.4612110277950048,1,1,1,medium,ultra_low
35,Beeswax Wrap,Natural Fiber,0.25,0.0,0.9090909090909092,0.9677093844601413,0.21052631578947367,6,0.775523822234085,0.125,0.6585809325139538,1,1,1,lightweight,ultra_low
36,Vacuum-Formed rPET Tray,Conventional Plastic,0.75,0.75,0.04040404040404041,0.8657921291624623,0.7368421052631579,2,0.4867209395435739,0.75,0.14056773975305856,0,1,0,heavy_duty,low_emission
37,Polypropylene (PP) Virgin,Conventional Plastic,0.5,1.0,0.020202020202020204,0.8314833501513623,0.3368421052631579,2,0.33244361403977046,0.75,0.09983368100580706,0,1,0,medium,low_emission
38,Recycled PP,Conventional Plastic,0.5,0.75,0.020202020202020204,0.9263370332996974,0.5789473684210527,2,0.45936207126651546,0.625,0.15928567401477137,0,1,0,medium,ultra_low
39,Expanded Corn Starch Foam,Bioplastic,0.0,0.25,0.9797979797979799,0.939455095862765,0.3157894736842105,1,0.8266381956492725,0.125,0.6945650335456954,1,1,1,lightweight,ultra_low
40,Stone Paper (CaCO3),Mineral,0.5,0.25,0.6060606060606061,0.934409687184662,0.6842105263157895,5,0.7679167222741226,0.375,0.37263911597226135,1,1,1,medium,ultra_low
41,Abaca (Manila Hemp) Sheets,Natural Fiber,0.75,0.75,0.9292929292929294,0.8990918264379416,0.5789473684210527,6,0.8653409849192579,0.75,0.2405423690590291,1,1,1,heavy_duty,low_emission
42,Kapok Fiber Cushions,Natural Fiber,0.25,0.5,0.9595959595959597,0.9293642785065591,0.3157894736842105,6,0.811957827305485,0.375,0.39124429159384333,1,1,1,lightweight,ultra_low
43,Pineapple Leaf Fibers (Piña),Natural Fiber,0.5,0.5,0.9090909090909092,0.8990918264379416,0.47368421052631576,6,0.8226344588282397,0.5,0.32175677961323784,1,1,1,medium,low_emission
44,Coffee Husk Composites,Natural Fiber,0.5,0.5,0.8585858585858587,0.9091826437941474,0.5263157894736842,6,0.8212998798878954,0.5,0.3212916502226983,1,1,1,medium,ultra_low
45,Olive Stone Fillers,Natural Fiber,0.5,0.75,0.888888888888889,0.9091826437941474,0.5789473684210527,6,0.8519951955158147,0.625,0.2777668151322095,1,1,1,medium,ultra_low
46,Date Palm Composites,Natural Fiber,0.75,0.75,0.9090909090909092,0.8890010090817357,0.631578947368421,6,0.8673428533297742,0.75,0.24106387776963406,1,1,1,heavy_duty,low_emission
47,Avocado Seed Bioplastics,Bio-based Composite,0.25,0.25,0.9292929292929294,0.9091826437941474,0.2631578947368421,0,0.7705858801548111,0.25,0.47926650504594903,1,1,1,lightweight,ultra_low
48,Mushroom Root (Mycelium Variants),Bio-based Composite,0.5,0.5,0.9595959595959597,0.9293642785065591,0.21052631578947367,0,0.778593353796877,0.5,0.3062524665952528,1,1,1,medium,ultra_low
49,Agar-Agar Films (Seaweed Binder),Bio-based Composite,0.25,0.25,0.9595959595959597,0.939455095862765,0.2631578947368421,0,0.8006139063125581,0.25,0.4951231888143428,1,1,1,lightweight,ultra_low
50,Wheat Bran Sheets,Natural Fiber,0.25,0.25,0.9090909090909092,0.9192734611503532,0.6842105263157895,6,0.9000400373682103,0.25,0.5476264306252466,1,1,1,lightweight,ultra_low
51,Barley Straw Pulp,Paper/Cardboard,0.5,0.5,0.888888888888889,0.9192734611503532,0.7368421052631579,7,0.9073802215401039,0.5,0.3515955347578508,1,1,1,medium,ultra_low
52,Maize Cob Composites,Natural Fiber,0.5,0.5,0.9090909090909092,0.9192734611503532,0.5789473684210527,6,0.8666755638596022,0.5,0.33726109263122284,1,1,1,medium,ultra_low
53,Potato Starch Foams,Bioplastic,0.25,0.5,0.9595959595959597,0.9091826437941474,0.2631578947368421,1,0.7845989590284266,0.375,0.37968653098043637,1,1,1,lightweight,ultra_low
54,Sugarcane Pulp Trays,Natural Fiber,0.5,0.5,0.888888888888889,0.9192734611503532,0.6842105263157895,6,0.8906979847857999,0.5,0.3457179906410328,1,1,1,medium,ultra_low
55,Apple Pomace Films,Natural Fiber,0.25,0.25,0.9292929292929294,0.9192734611503532,0.42105263157894735,6,0.8259709061791005,0.25,0.5085132773298754,1,1,1,lightweight,ultra_low
56,Bamboo Leaf Sheets,Natural Fiber,0.5,0.5,0.9090909090909092,0.9091826437941474,0.5263157894736842,6,0.8446550113439211,0.5,0.32950893612223037,1,1,1,medium,ultra_low
57,Reed Fiber Padding,Natural Fiber,0.5,0.5,0.888888888888889,0.9091826437941474,0.631578947368421,6,0.8686774322701187,0.5,0.33796583413204034,1,1,1,medium,ultra_low
58,Esparto Grass Composites,Natural Fiber,0.5,0.5,0.8585858585858587,0.8890010090817357,0.5789473684210527,6,0.8273054851194446,0.5,0.3234058747251508,1,1,1,medium,low_emission
59,Typha (Cattail) Fiber,Natural Fiber,0.25,0.25,0.9292929292929294,0.9192734611503532,0.47368421052631576,6,0.8426531429334043,0.25,0.5173225460900941,1,1,1,lightweight,ultra_low
60,Kenaf Fiber Molded,Natural Fiber,0.75,0.75,0.9090909090909092,0.9091826437941474,0.631578947368421,6,0.8780194848525291,0.75,0.2438828437729041,1,1,1,heavy_duty,ultra_low
61,Ramie Fiber Bags,Natural Fiber,0.75,0.75,0.888888888888889,0.8890010090817357,0.5789473684210527,6,0.8413185639930603,0.75,0.23419969555167164,1,1,1,heavy_duty,low_emission
62,Coir Pith Blocks,Natural Fiber,0.5,0.75,0.9595959595959597,0.9293642785065591,0.5263157894736842,6,0.8786867743227011,0.625,0.2858149630715453,1,1,1,medium,ultra_low
63,Areca Palm Leaf Plates,Natural Fiber,0.5,0.25,0.9595959595959597,0.9192734611503532,0.3157894736842105,6,0.8066195115441077,0.375,0.38898911879122733,1,1,1,medium,ultra_low
64,Sal Leaf Plates,Natural Fiber,0.5,0.25,0.9595959595959597,0.9192734611503532,0.3684210526315789,6,0.8233017482984117,0.375,0.39603653379940235,1,1,1,medium,ultra_low
65,Sago Palm Starch Films,Bioplastic,0.25,0.25,0.9595959595959597,0.9091826437941474,0.2631578947368421,1,0.7845989590284266,0.25,0.48666629080453294,1,1,1,lightweight,ultra_low
66,Jackfruit Seed Bioplastics,Bio-based Composite,0.25,0.25,0.9090909090909092,0.9091826437941474,0.3157894736842105,0,0.777926064326705,0.25,0.48314258330044535,1,1,1,lightweight,ultra_low
67,Durian Rind Composites,Natural Fiber,0.5,0.5,0.888888888888889,0.9091826437941474,0.47368421052631576,6,0.8186307220072067,0.5,0.3203472966116028,1,1,1,medium,ultra_low
68,Mango Seed Coatings,Bio-based Composite,0.25,0.25,0.9292929292929294,0.9091826437941474,0.42105263157894735,0,0.820632590417723,0.25,0.5056943113266054,1,1,1,lightweight,ultra_low
69,Papaya Leaf Fibers,Natural Fiber,0.25,0.25,0.9090909090909092,0.9192734611503532,0.5263157894736842,6,0.8499933271052982,0.25,0.5211986243445903,1,1,1,lightweight,ultra_low
70,Guava Pomace Fillers,Natural Fiber,0.25,0.5,0.888888888888889,0.9192734611503532,0.5789473684210527,6,0.8573335112771918,0.375,0.41041326041607934,1,1,1,lightweight,ultra_low
71,Lentil Hull Composites,Natural Fiber,0.5,0.5,0.8585858585858587,0.9091826437941474,0.631578947368421,6,0.8546643533965035,0.5,0.33303264362631785,1,1,1,medium,ultra_low
72,Chickpea Straw Pulp,Natural Fiber,0.5,0.5,0.9090909090909092,0.9192734611503532,0.6842105263157895,6,0.9000400373682103,0.5,0.3490020860348424,1,1,1,medium,ultra_low
73,Soybean Hull Sheets,Natural Fiber,0.5,0.5,0.888888888888889,0.9091826437941474,0.5789473684210527,6,0.8519951955158147,0.5,0.3320882900152224,1,1,1,medium,ultra_low
74,Alginate Films (Brown Algae),Bio-based Composite,0.25,0.25,0.9595959595959597,0.939455095862765,0.2631578947368421,0,0.8006139063125581,0.25,0.4951231888143428,1,1,1,lightweight,ultra_low
75,Carrageenan Wraps (Red Algae),Bio-based Composite,0.25,0.25,0.9595959595959597,0.939455095862765,0.2631578947368421,0,0.8006139063125581,0.25,0.4951231888143428,1,1,1,lightweight,ultra_low
76,Fucoidan-Based Trays,Bio-based Composite,0.5,0.5,0.9494949494949496,0.9293642785065591,0.2631578947368421,0,0.7906045642599757,0.5,0.31048091560015784,1,1,1,medium,ultra_low
77,Pectin Films (Fruit-Derived),Bio-based Composite,0.25,0.25,0.9292929292929294,0.9192734611503532,0.3157894736842105,0,0.7926064326704925,0.25,0.4908947398094379,1,1,1,lightweight,ultra_low
78,Bacterial Cellulose Sheets,Bio-based Composite,0.75,0.5,0.9595959595959597,0.9192734611503532,0.21052631578947367,0,0.7732550380354997,0.625,0.2540029317246434,1,1,1,heavy_duty,ultra_low
79,Pullulan Films (Fungal),Bio-based Composite,0.25,0.25,0.9595959595959597,0.9293642785065591,0.2631578947368421,0,0.795275590551181,0.25,0.4923042228110729,1,1,1,lightweight,ultra_low
80,Xanthan Gum Coatings,Bio-based Composite,0.25,0.25,0.9090909090909092,0.9192734611503532,0.3157894736842105,0,0.7832643800880821,0.25,0.4859615493037154,1,1,1,lightweight,ultra_low
81,Guar Gum Composites,Bio-based Composite,0.25,0.5,0.9292929292929294,0.9192734611503532,0.3684210526315789,0,0.8092886694247965,0.375,0.3901167051925354,1,1,1,lightweight,ultra_low
82,Orange Peel Composites,Natural Fiber,0.25,0.25,0.9292929292929294,0.9192734611503532,0.42105263157894735,6,0.8259709061791005,0.25,0.5085132773298754,1,1,1,lightweight,ultra_low
83,Lemon Peel Films,Natural Fiber,0.25,0.25,0.9090909090909092,0.9192734611503532,0.3684210526315789,6,0.7999466168423861,0.25,0.4947708180639341,1,1,1,lightweight,ultra_low
84,Pomegranate Rind Trays,Natural Fiber,0.5,0.5,0.888888888888889,0.9091826437941474,0.47368421052631576,6,0.8186307220072067,0.5,0.3203472966116028,1,1,1,medium,ultra_low
85,Grape Pomace Fillers,Natural Fiber,0.25,0.5,0.9090909090909092,0.9192734611503532,0.5263157894736842,6,0.8499933271052982,0.375,0.40731239781248235,1,1,1,lightweight,ultra_low
86,Tomato Skin Sheets,Natural Fiber,0.25,0.25,0.9292929292929294,0.9192734611503532,0.42105263157894735,6,0.8259709061791005,0.25,0.5085132773298754,1,1,1,lightweight,ultra_low
87,Onion Peel Composites,Natural Fiber,0.5,0.5,0.8585858585858587,0.9091826437941474,0.5789473684210527,6,0.8379821166421995,0.5,0.3271550995094999,1,1,1,medium,ultra_low
88,Garlic Husk Padding,Natural Fiber,0.25,0.25,0.888888888888889,0.9192734611503532,0.5263157894736842,6,0.8406512745228878,0.25,0.5162654338388678,1,1,1,lightweight,ultra_low
89,Eggshell Calcium Composites,Bio-based Composite,0.75,0.75,0.8585858585858587,0.9091826437941474,0.631578947368421,0,0.8546643533965035,0.75,0.23772340305575912,1,1,1,heavy_duty,ultra_low
90,Crab Shell Chitin Films,Bio-based Composite,0.5,0.5,0.9090909090909092,0.9091826437941474,0.3157894736842105,0,0.777926064326705,0.5,0.3060128544849749,1,1,1,medium,ultra_low
91,Shrimp Shell Chitosan Trays,Bio-based Composite,0.5,0.5,0.9292929292929294,0.9091826437941474,0.3157894736842105,0,0.7872681169091149,0.5,0.3093110447088008,1,1,1,medium,ultra_low
92,Fish Scale Bioplastics,Bio-based Composite,0.5,0.5,0.8585858585858587,0.8990918264379416,0.2631578947368421,0,0.732550380354998,0.5,0.29004341207645035,1,1,1,medium,low_emission
93,Feather Keratin Foams,Bio-based Composite,0.25,0.25,0.9090909090909092,0.9091826437941474,0.21052631578947367,0,0.7445615908180969,0.25,0.46552404578000794,1,1,1,lightweight,ultra_low
94,Wool Fiber Padding,Natural Fiber,0.5,0.5,0.8585858585858587,0.868819374369324,0.7368421052631579,6,0.8666755638596022,0.5,0.33726109263122284,1,1,1,medium,low_emission
95,Silk Cocoons Composites,Natural Fiber,0.5,0.5,0.8080808080808082,0.8486377396569122,0.42105263157894735,6,0.732550380354998,0.5,0.29004341207645035,1,1,1,medium,low_emission
96,Casein (Milk Protein) Films,Bio-based Composite,0.25,0.25,0.9090909090909092,0.8990918264379416,0.2631578947368421,0,0.7559055118110236,0.25,0.4715143485369566,1,1,1,lightweight,low_emission
97,Gelatin-Based Wraps,Bio-based Composite,0.25,0.25,0.9595959595959597,0.9091826437941474,0.21052631578947367,0,0.7679167222741226,0.25,0.47785702204431413,1,1,1,lightweight,ultra_low
98,Collagen Sheets,Bio-based Composite,0.5,0.5,0.9292929292929294,0.8990918264379416,0.3157894736842105,0,0.7819298011477378,0.5,0.3074223374866099,1,1,1,medium,low_emission
99,Lignin Foams (Wood Extract),Bio-based Composite,0.5,0.5,0.8585858585858587,0.9091826437941474,0.42105263157894735,0,0.7879354063792874,0.5,0.3095365619890624,1,1,1,medium,ultra_low
100,Hemicellulose Films,Bio-based Composite,0.25,0.25,0.9090909090909092,0.9192734611503532,0.3684210526315789,0,0.7999466168423861,0.25,0.4947708180639341,1,1,1,lightweight,ultra_low
101,Glucomannan Noodles/Padding,Bio-based Composite,0.25,0.5,0.9595959595959597,0.9192734611503532,0.2631578947368421,0,0.7899372747898037,0.375,0.38194170378305237,1,1,1,lightweight,ultra_low
102,Locust Bean Gum Trays,Bio-based Composite,0.25,0.25,0.9292929292929294,0.9091826437941474,0.3157894736842105,0,0.7872681169091149,0.25,0.48807577380616785,1,1,1,lightweight,ultra_low
103,Konjac Glucomannan Films,Bio-based Composite,0.25,0.25,0.9595959595959597,0.9192734611503532,0.2631578947368421,0,0.7899372747898037,0.25,0.48948525680780286,1,1,1,lightweight,ultra_low
104,Fungal Keratinase Composites,Bio-based Composite,0.5,0.5,0.9595959595959597,0.9192734611503532,0.21052631578947367,0,0.7732550380354997,0.5,0.3043778542030783,1,1,1,medium,ultra_low
105,Bacterial Nanocellulose Foams,Bio-based Composite,0.75,0.75,0.9595959595959597,0.9192734611503532,0.21052631578947367,0,0.7732550380354997,0.75,0.21621469245080904,1,1,1,heavy_duty,ultra_low
106,PHA From Bacteria (Films),Bioplastic,0.5,0.5,0.9595959595959597,0.8789101917255299,0.2631578947368421,1,0.7685840117442946,0.5,0.3027287590911653,1,1,1,medium,low_emission
107,PHB Bottles/Trays,Bioplastic,0.75,0.75,0.9090909090909092,0.868819374369324,0.3157894736842105,1,0.7565728012811956,0.75,0.2118171054857078,1,1,1,heavy_duty,low_emission
108,Polyhydroxybutyrate (PHB) Composites,Bioplastic,0.75,0.75,0.9292929292929294,0.868819374369324,0.3157894736842105,1,0.765914853863606,0.75,0.21428370073856906,1,1,1,heavy_duty,low_emission
109,Spider Silk-Inspired Synthetics,Bio-based Composite,1.0,0.75,0.8585858585858587,0.8890010090817357,0.42105263157894735,0,0.7772587748565327,0.875,0.18777132547781472,1,1,1,heavy_duty,low_emission
110,Nettle Fiber Bags,Natural Fiber,0.75,0.75,0.9090909090909092,0.8990918264379416,0.5789473684210527,6,0.8559989323368475,0.75,0.23806167897615155,1,1,1,heavy_duty,low_emission
111,Willow Bark Composites,Natural Fiber,0.5,0.5,0.888888888888889,0.8990918264379416,0.631578947368421,6,0.8633391165087414,0.5,0.3360912217398658,1,1,1,medium,low_emission
